ENTRYTYPE,ID,abstract,address,adsnote,adsurl,affiliation,an,annote,archiveprefix,article_type,author,author_keywords,bdsk-file-1,bdsk-url-1,bdsk-url-2,bibsource,biburl,booktitle,chapter,citation,copyright,da,date,date-added,date-modified,db,document_type,doi,dp,edition,editor,eid,elocation-id,eprint,et,howpublished,id,institution,isbn,issn,issue,j2,journal,journal1,journal2,keywords,l2,la,language,local-url,location,lp,m3,month,n2,note,number,numpages,organization,pages,pmid,primaryclass,pub_date,publisher,read,reviewed-author,school,series,source,tags,timestamp,title,ty,type,u1,u2,url,volume,year,year1
article,Abel2013CB,"Despite the ubiquity of sleep across phylogeny, its function remains elusive. In this review, we consider one compelling candidate: brain plasticity associated with memory processing. Focusing largely on hippocampus-dependent memory in rodents and humans, we describe molecular, cellular, network, whole-brain and behavioral evidence establishing a role for sleep both in preparation for initial memory encoding, and in the subsequent offline consolidation of memory. Sleep and sleep deprivation bidirectionally alter molecular signaling pathways that regulate synaptic strength and control plasticity-related gene transcription and protein translation. At the cellular level, sleep deprivation impairs cellular excitability necessary for inducing synaptic potentiation and accelerates the decay of long-lasting forms of synaptic plasticity. In contrast, rapid eye movement (REM) and non-rapid eye movement (NREM) sleep enhance previously induced synaptic potentiation, although synaptic de-potentiation during sleep has also been observed. Beyond single cell dynamics, large-scale cell ensembles express coordinated replay of prior learning-related firing patterns during subsequent NREM sleep. At the whole-brain level, somewhat analogous learning-associated hippocampal (re)activation during NREM sleep has been reported in humans. Moreover, the same cortical NREM oscillations associated with replay in rodents also promote human hippocampal memory consolidation, and this process can be manipulated using exogenous reactivation cues during sleep. Mirroring molecular findings in rodents, specific NREM sleep oscillations before encoding refresh human hippocampal learning capacity, while deprivation of sleep conversely impairs subsequent hippocampal activity and associated encoding. Together, these cross-descriptive level findings demonstrate that the unique neurobiology of sleep exerts powerful effects on molecular, cellular and network mechanisms of plasticity that govern both initial learning and subsequent long-term memory consolidation.",,,,,,,,,"Abel, Ted and Havekes, Robbert and Saletin, Jared M. and Walker, Matthew P.",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAYLi4vcGFwZXJzL2FiZWwyMDEzY2IucGRmTxEBZAAAAAABZAACAAAFbWFjT1MAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEJEAAH/////DmFiZWwyMDEzY2IucGRmAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAP////8AAAAAAAAAAAAAAAAAAQACAAAKIGN1AAAAAAAAAAAAAAAAAAZwYXBlcnMAAgA9LzpVc2Vyczp3aXR0a3VobjpEb2N1bWVudHM6YmlibGlvZ3JhcGh5OnBhcGVyczphYmVsMjAxM2NiLnBkZgAADgAeAA4AYQBiAGUAbAAyADAAMQAzAGMAYgAuAHAAZABmAA8ADAAFAG0AYQBjAE8AUwASADtVc2Vycy93aXR0a3Vobi9Eb2N1bWVudHMvYmlibGlvZ3JhcGh5L3BhcGVycy9hYmVsMjAxM2NiLnBkZgAAEwABLwAAFQACAA///wAAAAgADQAaACQAPwAAAAAAAAIBAAAAAAAAAAUAAAAAAAAAAAAAAAAAAAGn,,,,,,,,,,,2020-12-15 10:54:46 +0100,2020-12-15 10:55:05 +0100,,,https://doi.org/10.1016/j.cub.2013.07.025,,,,,,,,,,,,0960-9822,,,Current Biology,,,,,,,,,,,,,,17,,,R774 - R788,,,,,,,,,,,,"Sleep, Plasticity and Memory from Molecules to Whole-Brain Networks",,,,,http://www.sciencedirect.com/science/article/pii/S0960982213008488,23,2013,
article,Abraham2014FN,"Statistical machine learning methods are increasingly used for neuroimaging data analysis. Their main virtue is their ability to model high-dimensional datasets, e.g., multivariate analysis of activation images or resting-state time series. Supervised learning is typically used in decoding or encoding settings to relate brain images to behavioral or clinical observations, while unsupervised learning can uncover hidden structures in sets of images (e.g., resting state functional MRI) or find sub-populations in large cohorts. By considering different functional neuroimaging applications, we illustrate how scikit-learn, a Python machine learning library, can be used to perform some key analysis steps. Scikit-learn contains a very large set of statistical learning algorithms, both supervised and unsupervised, and its application to neuroimaging data provides a versatile tool to study the brain.",,,,,,,,,"Abraham, Alexandre and Pedregosa, Fabian and Eickenberg, Michael and Gervais, Philippe and Mueller, Andreas and Kossaifi, Jean and Gramfort, Alexandre and Thirion, Bertrand and Varoquaux, Ga{\""e}l",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAbLi4vcGFwZXJzL2FicmFoYW0yMDE0Zm4ucGRmTxEBbgAAAAABbgACAAAFbWFjT1MAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEJEAAH/////EWFicmFoYW0yMDE0Zm4ucGRmAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAP////8AAAAAAAAAAAAAAAAAAQACAAAKIGN1AAAAAAAAAAAAAAAAAAZwYXBlcnMAAgBALzpVc2Vyczp3aXR0a3VobjpEb2N1bWVudHM6YmlibGlvZ3JhcGh5OnBhcGVyczphYnJhaGFtMjAxNGZuLnBkZgAOACQAEQBhAGIAcgBhAGgAYQBtADIAMAAxADQAZgBuAC4AcABkAGYADwAMAAUAbQBhAGMATwBTABIAPlVzZXJzL3dpdHRrdWhuL0RvY3VtZW50cy9iaWJsaW9ncmFwaHkvcGFwZXJzL2FicmFoYW0yMDE0Zm4ucGRmABMAAS8AABUAAgAP//8AAAAIAA0AGgAkAEIAAAAAAAACAQAAAAAAAAAFAAAAAAAAAAAAAAAAAAABtA==,,,,,,,,,,,2019-11-06 17:20:24 +0100,2020-03-31 14:28:13 +0200,,,10.3389/fninf.2014.00014,,,,,,,,,,,,1662-5196,,,Frontiers in Neuroinformatics,,,,,,,,,,,Feb,,,,,,,,,,Frontiers Media SA,,,,,,,,Machine learning for neuroimaging with scikit-learn,,,,,http://dx.doi.org/10.3389/fninf.2014.00014,8,2014,
book,Abramowitz1964DPI,,"New York, NY, USA",,,,,,,,"Abramowitz, Milton and Stegun, Irene A.",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAfLi4vcGFwZXJzL2FicmFtb3dpdHoxOTY0ZHBpLnBkZk8RAX4AAAAAAX4AAgAABW1hY09TAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABCRAAB/////xVhYnJhbW93aXR6MTk2NGRwaS5wZGYAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAD/////AAAAAAAAAAAAAAAAAAEAAgAACiBjdQAAAAAAAAAAAAAAAAAGcGFwZXJzAAIARC86VXNlcnM6d2l0dGt1aG46RG9jdW1lbnRzOmJpYmxpb2dyYXBoeTpwYXBlcnM6YWJyYW1vd2l0ejE5NjRkcGkucGRmAA4ALAAVAGEAYgByAGEAbQBvAHcAaQB0AHoAMQA5ADYANABkAHAAaQAuAHAAZABmAA8ADAAFAG0AYQBjAE8AUwASAEJVc2Vycy93aXR0a3Vobi9Eb2N1bWVudHMvYmlibGlvZ3JhcGh5L3BhcGVycy9hYnJhbW93aXR6MTk2NGRwaS5wZGYAEwABLwAAFQACAA///wAAAAgADQAaACQARgAAAAAAAAIBAAAAAAAAAAUAAAAAAAAAAAAAAAAAAAHI,,,,,,,,,,,2019-11-18 13:19:58 +0100,2020-03-31 14:28:13 +0200,,,,,10,"Abramowitz, Milton and Stegun, Irene A.",,,,,,,,,,,,"Dover Publications, Inc.",,,,,,,,,,,,,,,,,,,,,"Dover Publications, Inc.",,,,,,,,"Handbook of Mathematical Functions with Formulas, Graphs, and Mathematical Tables",,,,,,,1964,
article,Adam2012ITSCPAR,"Reinforcement-learning (RL) algorithms can automatically learn optimal control strategies for nonlinear, possibly stochastic systems. A promising approach for RL control is experience replay (ER), which learns quickly from a limited amount of data, by repeatedly presenting these data to an underlying RL algorithm. Despite its benefits, ER RL has been studied only sporadically in the literature, and its applications have largely been confined to simulated systems. Therefore, in this paper, we evaluate ER RL on real-time control experiments that involve a pendulum swing-up problem and the vision-based control of a goalkeeper robot. These real-time experiments are complemented by simulation studies and comparisons with traditional RL. As a preliminary, we develop a general ER framework that can be combined with essentially any incremental RL technique, and instantiate this framework for the approximate Q-learning and SARSA algorithms. The successful real-time learning results that are presented here are highly encouraging for the applicability of ER RL in practice.",,,,,,,,,"Adam, Sander and Busoniu, Lucian and Babuska, Robert",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAdLi4vcGFwZXJzL2FkYW0yMDEyaXRzY3Bhci5wZGZPEQF2AAAAAAF2AAIAAAVtYWNPUwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQkQAAf////8TYWRhbTIwMTJpdHNjcGFyLnBkZgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/////wAAAAAAAAAAAAAAAAABAAIAAAogY3UAAAAAAAAAAAAAAAAABnBhcGVycwACAEIvOlVzZXJzOndpdHRrdWhuOkRvY3VtZW50czpiaWJsaW9ncmFwaHk6cGFwZXJzOmFkYW0yMDEyaXRzY3Bhci5wZGYADgAoABMAYQBkAGEAbQAyADAAMQAyAGkAdABzAGMAcABhAHIALgBwAGQAZgAPAAwABQBtAGEAYwBPAFMAEgBAVXNlcnMvd2l0dGt1aG4vRG9jdW1lbnRzL2JpYmxpb2dyYXBoeS9wYXBlcnMvYWRhbTIwMTJpdHNjcGFyLnBkZgATAAEvAAAVAAIAD///AAAACAANABoAJABEAAAAAAAAAgEAAAAAAAAABQAAAAAAAAAAAAAAAAAAAb4=,,,,,,,,,,,2019-12-27 19:01:54 +0100,2020-03-31 14:28:13 +0200,,,10.1109/tsmcc.2011.2106494,,,,,,,,,,,,1558-2442,,,"IEEE Transactions on Systems, Man, and Cybernetics, Part C (Applications and Reviews)",,,,,,,,,,,Mar,,,2,,,201--212,,,,Institute of Electrical and Electronics Engineers (IEEE),,,,,,replay; AI,,Experience Replay for Real-Time Reinforcement Learning Control,,,,,http://dx.doi.org/10.1109/TSMCC.2011.2106494,42,2012,
article,Adamantidis2019NRN,"Brain activity during sleep is characterized by circuit-specific oscillations, including slow waves, spindles and theta waves, which are nested in thalamocortical or hippocampal networks. A major challenge is to determine the relationships between these oscillatory activities and the identified networks of sleep-promoting and wake-promoting neurons distributed throughout the brain. Improved understanding of the neurobiological mechanisms that orchestrate sleep-related oscillatory activities, both in time and space, is expected to generate further insight into the delineation of sleep states and their functions.",,,,,,,,,"Adamantidis, Antoine R. and Gutierrez Herrera, Carolina and Gent, Thomas C.",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAgLi4vcGFwZXJzL2FkYW1hbnRpZGlzMjAxOW5ybi5wZGZPEQGEAAAAAAGEAAIAAAVtYWNPUwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQkQAAf////8WYWRhbWFudGlkaXMyMDE5bnJuLnBkZgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/////wAAAAAAAAAAAAAAAAABAAIAAAogY3UAAAAAAAAAAAAAAAAABnBhcGVycwACAEUvOlVzZXJzOndpdHRrdWhuOkRvY3VtZW50czpiaWJsaW9ncmFwaHk6cGFwZXJzOmFkYW1hbnRpZGlzMjAxOW5ybi5wZGYAAA4ALgAWAGEAZABhAG0AYQBuAHQAaQBkAGkAcwAyADAAMQA5AG4AcgBuAC4AcABkAGYADwAMAAUAbQBhAGMATwBTABIAQ1VzZXJzL3dpdHRrdWhuL0RvY3VtZW50cy9iaWJsaW9ncmFwaHkvcGFwZXJzL2FkYW1hbnRpZGlzMjAxOW5ybi5wZGYAABMAAS8AABUAAgAP//8AAAAIAA0AGgAkAEcAAAAAAAACAQAAAAAAAAAFAAAAAAAAAAAAAAAAAAABzw==,,,,,,,,,,,2020-03-06 10:20:39 +0100,2020-03-31 14:28:13 +0200,,,10.1038/s41583-019-0223-4,,,,,,,,,,,,1471-0048,,,Nature Reviews Neuroscience,,,,,,,,,,,Oct,,,12,,,746--762,,,,Springer Science and Business Media LLC,,,,,,,,Oscillating circuitries in the sleeping brain,,,,,http://dx.doi.org/10.1038/s41583-019-0223-4,20,2019,
article,Agrawal2020B,"Cognitive fatigue and boredom are two phenomenological states widely associated with limitations in cognitive control. In this paper, we present a rational analysis of the temporal structure of controlled behavior, which provides a new framework for providing a formal account of these phenomena. We suggest that in controlling behavior, the brain faces competing behavioral and computational imperatives, and must balance them by tracking their opportunity costs over time. We use this analysis to flesh out previous suggestions that feelings associated with subjective effort, like cognitive fatigue and boredom, are the phenomenological counterparts of these opportunity cost measures, rather then reflecting the depletion of resources as has often been assumed. Specifically, we propose that both fatigue and boredom reflect the competing value of particular options that require foregoing immediate reward but can improve future performance: Fatigue reflects the value of offline computation (internal to the organism) to improve future decisions, while boredom signals the value of exploratory actions (external in the world) to gather information. We demonstrate that these accounts provide a mechanistically explicit and parsimonious account for a wide array of findings related to cognitive control, integrating and reimagining them under a single, formally rigorous framework.",,,,,,,,,"Agrawal, Mayank and Mattar, Marcelo Gomes and Cohen, Jonathan D. and Daw, Nathaniel Douglass",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAaLi4vcGFwZXJzL2FncmF3YWwyMDIwYi5wZGZPEQFsAAAAAAFsAAIAAAVtYWNPUwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQkQAAf////8QYWdyYXdhbDIwMjBiLnBkZgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/////wAAAAAAAAAAAAAAAAABAAIAAAogY3UAAAAAAAAAAAAAAAAABnBhcGVycwACAD8vOlVzZXJzOndpdHRrdWhuOkRvY3VtZW50czpiaWJsaW9ncmFwaHk6cGFwZXJzOmFncmF3YWwyMDIwYi5wZGYAAA4AIgAQAGEAZwByAGEAdwBhAGwAMgAwADIAMABiAC4AcABkAGYADwAMAAUAbQBhAGMATwBTABIAPVVzZXJzL3dpdHRrdWhuL0RvY3VtZW50cy9iaWJsaW9ncmFwaHkvcGFwZXJzL2FncmF3YWwyMDIwYi5wZGYAABMAAS8AABUAAgAP//8AAAAIAA0AGgAkAEEAAAAAAAACAQAAAAAAAAAFAAAAAAAAAAAAAAAAAAABsQ==,,,,,,,,,,,2020-09-10 15:45:45 +0200,2020-09-10 15:46:23 +0200,,,10.1101/2020.09.08.287276,,,,,,,,,,,,,,,bioRxiv,,,,,,,,,,,sep,,,,,,,,,,Cold Spring Harbor Laboratory,,,,,,,,The Temporal Dynamics of Opportunity Costs: A Normative Account of Cognitive Fatigue and Boredom,,,,,https://doi.org/10.1101%2F2020.09.08.287276,,2020,
article,Aguirre1998N,"Cerebral hemodynamic responses to brief periods of neural activity are delayed and dispersed in time. The specific shape of these responses is of some importance to the design and analysis of blood oxygenation level-dependent (BOLD), functional magnetic resonance imaging (fMRI) experiments. Using fMRI scanning, we examine here the characteristics and variability of hemodynamic responses from the central sulcus in human subjects during an event-related, simple reaction time task. Specifically, we determine the contribution of subject, day, and scanning session (within a day) to variability in the shape of evoked hemodynamic response. We find that while there is significant and substantial variability in the shape of responses collected across subjects, responses collected during multiple scans within a single subject are less variable. The results are discussed in terms of the impact of response variability upon sensitivity and specificity of analyses of event-related fMRI designs.",,,,,,,,,"Aguirre, G.K. and Zarahn, E. and D'Esposito, M.",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAaLi4vcGFwZXJzL2FndWlycmUxOTk4bi5wZGZPEQFsAAAAAAFsAAIAAAVtYWNPUwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQkQAAf////8QYWd1aXJyZTE5OThuLnBkZgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/////wAAAAAAAAAAAAAAAAABAAIAAAogY3UAAAAAAAAAAAAAAAAABnBhcGVycwACAD8vOlVzZXJzOndpdHRrdWhuOkRvY3VtZW50czpiaWJsaW9ncmFwaHk6cGFwZXJzOmFndWlycmUxOTk4bi5wZGYAAA4AIgAQAGEAZwB1AGkAcgByAGUAMQA5ADkAOABuAC4AcABkAGYADwAMAAUAbQBhAGMATwBTABIAPVVzZXJzL3dpdHRrdWhuL0RvY3VtZW50cy9iaWJsaW9ncmFwaHkvcGFwZXJzL2FndWlycmUxOTk4bi5wZGYAABMAAS8AABUAAgAP//8AAAAIAA0AGgAkAEEAAAAAAAACAQAAAAAAAAAFAAAAAAAAAAAAAAAAAAABsQ==,http://www.sciencedirect.com/science/article/pii/S105381199890369X,https://doi.org/10.1006/nimg.1998.0369,,,,,,,,,2019-09-06 10:30:32 +0200,2020-03-31 14:28:13 +0200,,,10.1006/nimg.1998.0369,,,,,,,,,,,,1053-8119,,,NeuroImage,,,,,,,,,,,,,,4,,,360 - 369,,,,,0,,,,,highspeed,,"The Variability of Human, {BOLD} Hemodynamic Responses",,,,,http://www.sciencedirect.com/science/article/pii/S105381199890369X,8,1998,
article,Alink2015B,"Analyzing functional magnetic resonance imaging (fMRI) pattern similarity is becoming increasingly popular because it allows one to relate distributed patterns of voxel activity to continuous perceptual and cognitive states of the human brain. Here we show that fMRI pattern similarity estimates are severely affected by temporal pattern drifts in fMRI data -- even after voxel-wise detrending. For this particular dataset, the drift effect obscures orientation information as measured by fMRI pattern dissimilarities. We demonstrate that orientation information can be recovered using three different methods: 1. Regressing out the drift component through linear modeling; 2. Computing representational distances between conditions measured in independent imaging runs; 3. Crossvalidation of pattern distance estimates. One possible source of temporal pattern drift could be random walk like fluctuations --- physiological or scanner related --- occurring within single voxel timecourses. This explanation is consistent with voxel-wise detrending not alleviating pattern drift effects. In addition, this would explain why crossvalidated pattern distances are robust to temporal drift because a random walk process is expected to give rise to non-replicable drift directions. Given these findings, we recommend that future fMRI studies take pattern drift into account when analyzing pattern similarity as this can greatly enhance the sensitivity to experimental effects of interest.",,,,,,,,,"Alink, Arjen and Walther, Alexander and Krugliak, Alexandra and van den Bosch, Jasper J.F. and Kriegeskorte, Nikolaus",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAYLi4vcGFwZXJzL2FsaW5rMjAxNWIucGRmTxEBZAAAAAABZAACAAAFbWFjT1MAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEJEAAH/////DmFsaW5rMjAxNWIucGRmAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAP////8AAAAAAAAAAAAAAAAAAQACAAAKIGN1AAAAAAAAAAAAAAAAAAZwYXBlcnMAAgA9LzpVc2Vyczp3aXR0a3VobjpEb2N1bWVudHM6YmlibGlvZ3JhcGh5OnBhcGVyczphbGluazIwMTViLnBkZgAADgAeAA4AYQBsAGkAbgBrADIAMAAxADUAYgAuAHAAZABmAA8ADAAFAG0AYQBjAE8AUwASADtVc2Vycy93aXR0a3Vobi9Eb2N1bWVudHMvYmlibGlvZ3JhcGh5L3BhcGVycy9hbGluazIwMTViLnBkZgAAEwABLwAAFQACAA///wAAAAgADQAaACQAPwAAAAAAAAIBAAAAAAAAAAUAAAAAAAAAAAAAAAAAAAGn,,,,,,,,,,,2020-01-03 13:06:07 +0100,2020-03-31 14:28:13 +0200,,,10.1101/032391,,,,,,,,,,,,,,,bioRxiv,,,,,,,,,,,Nov,,,,,,,,,,Cold Spring Harbor Laboratory,,,,,,,,Mind the drift - improving sensitivity to {fMRI} pattern information by accounting for temporal pattern drift,,,,,http://dx.doi.org/10.1101/032391,,2015,
incollection,Aljundi2019ANIPS,"A continual learning agent learns online with a non-stationary and never-ending stream of data. The key to such learning process is to overcome the catastrophic forgetting of previously seen data, which is a well known problem of neural networks. To prevent forgetting, a replay buffer is usually employed to store the previous data for the purpose of rehearsal. Previous work often depend on task boundary and i.i.d. assumptions to properly select samples for the replay buffer. In this work, we formulate sample selection as a constraint reduction problem based on the constrained optimization view of continual learning. The goal is to select a fixed subset of constraints that best approximate the feasible region defined by the original constraints. We show that it is equivalent to maximizing the diversity of samples in the replay buffer with parameter gradient as the feature. We further develop a greedy alternative that is cheap and efficient. The advantage of the proposed method is demonstrated by comparing to other alternatives under the continual learning setting. Further comparisons are made against state of the art methods that rely on task boundaries which show comparable or even better results for our method.",,,,,,,,,"Aljundi, Rahaf and Lin, Min and Goujaud, Baptiste and Bengio, Yoshua",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAeLi4vcGFwZXJzL2FsanVuZGkyMDE5YW5pcHMucGRmTxEBfAAAAAABfAACAAAFbWFjT1MAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAEJEAAH/////FGFsanVuZGkyMDE5YW5pcHMucGRmAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAP////8AAAAAAAAAAAAAAAAAAQACAAAKIGN1AAAAAAAAAAAAAAAAAAZwYXBlcnMAAgBDLzpVc2Vyczp3aXR0a3VobjpEb2N1bWVudHM6YmlibGlvZ3JhcGh5OnBhcGVyczphbGp1bmRpMjAxOWFuaXBzLnBkZgAADgAqABQAYQBsAGoAdQBuAGQAaQAyADAAMQA5AGEAbgBpAHAAcwAuAHAAZABmAA8ADAAFAG0AYQBjAE8AUwASAEFVc2Vycy93aXR0a3Vobi9Eb2N1bWVudHMvYmlibGlvZ3JhcGh5L3BhcGVycy9hbGp1bmRpMjAxOWFuaXBzLnBkZgAAEwABLwAAFQACAA///wAAAAgADQAaACQARQAAAAAAAAIBAAAAAAAAAAUAAAAAAAAAAAAAAAAAAAHF,,,,,Advances in Neural Information Processing Systems 32,,,,,,2020-10-26 14:44:34 +0100,2020-10-26 14:45:30 +0100,,,,,,"Wallach, H. and Larochelle, H. and Beygelzimer, A. and d\textquotesingle Alch\'{e}-Buc, F. and Fox, E. and Garnett, R.",,,,,,,,,,,,Advances in Neural Information Processing Systems 32,,,,,,,,,,,,,,,,,11816--11825,,,,"Curran Associates, Inc.",,,,,,,,Gradient based sample selection for online continual learning,,,,,http://papers.nips.cc/paper/9354-gradient-based-sample-selection-for-online-continual-learning.pdf,,2019,
article,Allen2019WOR," Across scientific disciplines, there is a rapidly growing recognition of the need for more statistically robust, transparent approaches to data visualization. Complementary to this, many scientists have called for plotting tools that accurately and transparently convey key aspects of statistical effects and raw data with minimal distortion. Previously common approaches, such as plotting conditional mean or median barplots together with error-bars have been criticized for distorting effect size, hiding underlying patterns in the raw data, and obscuring the assumptions upon which the most commonly used statistical tests are based. Here we describe a data visualization approach which overcomes these issues, providing maximal statistical information while preserving the desired `inference at a glance' nature of barplots and other similar visualization devices. These ``raincloud plots'' can visualize raw data, probability density, and key summary statistics such as median, mean, and relevant confidence intervals in an appealing and flexible format with minimal redundancy. In this tutorial paper, we provide basic demonstrations of the strength of raincloud plots and similar approaches, outline potential modifications for their optimal use, and provide open-source code for their streamlined implementation in R, Python and Matlab (https://github.com/RainCloudPlots/RainCloudPlots). Readers can investigate the R and Python tutorials interactively in the browser using Binder by Project Jupyter.",,,,,,,,,"Allen, Micah and Poggiali, Davide and Whitaker, Kirstie and Marshall, Tom Rhys and Kievit, Rogier A.",,YnBsaXN0MDDSAQIDBFxyZWxhdGl2ZVBhdGhZYWxpYXNEYXRhXxAaLi4vcGFwZXJzL2FsbGVuMjAxOXdvci5wZGZPEQFsAAAAAAFsAAIAAAVtYWNPUwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQkQAAf////8QYWxsZW4yMDE5d29yLnBkZgAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA/////wAAAAAAAAAAAAAAAAABAAIAAAogY3UAAAAAAAAAAAAAAAAABnBhcGVycwACAD8vOlVzZXJzOndpdHRrdWhuOkRvY3VtZW50czpiaWJsaW9ncmFwaHk6cGFwZXJzOmFsbGVuMjAxOXdvci5wZGYAAA4AIgAQAGEAbABsAGUAbgAyADAAMQA5AHcAbwByAC4AcABkAGYADwAMAAUAbQBhAGMATwBTABIAPVVzZXJzL3dpdHRrdWhuL0RvY3VtZW50cy9iaWJsaW9ncmFwaHkvcGFwZXJzL2FsbGVuMjAxOXdvci5wZGYAABMAAS8AABUAAgAP//8AAAAIAA0AGgAkAEEAAAAAAAACAQAAAAAAAAAFAAAAAAAAAAAAAAAAAAABsQ==,,,,,,,,,,,2019-09-24 14:07:04 +0200,2020-03-31 14:28:12 +0200,,,10.12688/wellcomeopenres.15191.1,,,,,,,,,,,,2398-502X,,,Wellcome Open Research,,,,,,,,,,,Apr,,,,,,63,,,,F1000 (Faculty of 1000 Ltd),,,,,,,,{Raincloud plots: A multi-platform tool for robust data visualization},,,,,http://dx.doi.org/10.12688/wellcomeopenres.15191.1,4,2019,
